Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29, C4",0603,3,10uF,
"C10, C11, C3",0603,3,47uF,
"C12, C2, C30, C31, C32",0603,5,0.1uF,
"C13, C14",0402,2,15pF,
"C15, C16, C17, C20",0402,4,4.7uF,
"C18, C19, C21, C22, C23, C24, C25, C26, C27, C28",0402,10,0.1uF,
"C5, C6, C7",0603,3,4.7uF,
C8,0603,1,2.2uF,
D2,D_SOD-523,1,1N914BWT,1N914BWT
L1,0805,1,3.3uH,AOTA-B201610S3R3-101-T
Q1,SOT-23,1,2N7002,2N7002
Q2,SOT-23,1,BSS84,BSS84
Q3,SOT-23-3,1,BC817,BC817-25LT1G
"R1, R2",0402,2,5.1k,
"R10, R12, R13, R22",0402,4,47k,
"R11, R18, R21",0402,3,1k,
"R14, R20, R6",0402,3,100k,
"R15, R16, R17, R25, R26, R5, R7",0402,7,10k,
R19,0402,1,33,
"R23, R24",0402,2,1M,
"R3, R4",0402,2,27,
"R8, R9",0402,2,2.2k,
"RN1, RN2",R_Array_Concave_4x0603,2,220,
U1,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,SC1509-A4
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CCI/ML,MCP73871-2CCI/ML
U3,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61092RSAR,TPS61092RSAR
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U6,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,
X1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,ABM8-272-T3,ABM8-272-T3
